Date,Plant,Product,Region,Produced_Tons,Dispatched_Tons,Inventory_Tons,UnitPrice,Revenue
2024-01-01,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-01-02,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-01-03,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-01-04,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-01-05,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-01-06,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-01-07,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-01-08,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-01-09,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-01-10,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-01-11,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-01-12,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-01-13,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-01-14,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-01-15,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-01-16,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-01-17,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-01-18,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-01-19,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-01-20,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-01-21,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-01-22,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-01-23,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-01-24,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-01-25,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-01-26,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-01-27,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-01-28,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-01-29,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-01-30,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-01-31,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-02-01,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-02-02,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-02-03,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-02-04,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-02-05,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-02-06,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-02-07,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-02-08,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-02-09,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-02-10,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-02-11,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-02-12,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-02-13,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-02-14,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-02-15,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-02-16,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-02-17,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-02-18,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-02-19,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-02-20,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-02-21,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-02-22,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-02-23,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-02-24,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
2024-02-25,Jamshedpur,HR Coil,North,1500,1400,100,50000,70000000
2024-02-26,Kalinganagar,CR Sheet,South,1200,1100,150,52000,57200000
2024-02-27,Durgapur,Rebar,East,1800,1750,50,48000,84000000
2024-02-28,Jamshedpur,Wire Rod,West,1600,1500,100,47000,70500000
2024-02-29,Kalinganagar,Plate,Central,1300,1250,100,51000,63750000
